COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M	p_MF	N_M	N_MF
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!Extracytoplasmic sensor domain CHASE2 (specificity unknown) (CHASE2)	2	0.1572992070502845	0.40904111070305105	M	COG0642!!!COG4252	GC_00003743	1	0	1	1
Predicted transcription regulator, contains HTH domain, MarR family	2	0.1572992070502845	0.40904111070305105	M	COG5631	GC_00005141	1	0	1	1
Predicted nucleic acid-binding protein, contains PIN domain	2	0.1572992070502845	0.40904111070305105	M	COG1569	GC_00002151	1	0	1	1
Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family	2	0.1572992070502845	0.40904111070305105	M	COG3607	GC_00000477, GC_00003136	1	0	1	1
Acetoacetate decarboxylase (Adc) (PDB:3BGT)	2	0.1572992070502845	0.40904111070305105	M	COG4689	GC_00001753	1	0	1	1
MFS-type transporter involved in bile tolerance, Atg22 family (BtlA) (PUBMED:12583894)	2	0.1572992070502845	0.40904111070305105	M	COG2270	GC_00007876	1	0	1	1
Recombinational DNA repair protein RecT (RecT)	2	0.1572992070502845	0.40904111070305105	M	COG3723	GC_00001527	1	0	1	1
Uncharacterized conserved membrane protein, UPF0127 family (PDB:3M7A)	2	0.1572992070502845	0.40904111070305105	M	COG1430	GC_00005026	1	0	1	1
Serine protease, subtilase family (PDB:1T1E)	2	0.1572992070502845	0.40904111070305105	M	COG4934	GC_00004278, GC_00005634	1	0	1	1
Uncaracterized surface protein containing fasciclin (FAS1) repeats (FAS1)	2	0.1572992070502845	0.40904111070305105	M	COG2335	GC_00005841	1	0	1	1
Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily (IaaA) (PDB:1APY)	2	0.1572992070502845	0.40904111070305105	M	COG1446	GC_00001543	1	0	1	1
Ribosome-associated protein YbcJ, S4-like RNA-binding protein (YbcJ) (PDB:1P9K)	2	0.1572992070502845	0.40904111070305105	M	COG2501	GC_00008522	1	0	1	1
Phage-encoded DNA-binding protein ECs1768, contains HTH and DnaT DNA-binding domains (ECs1768)	2	0.1572992070502845	0.40904111070305105	M	COG5529	GC_00003392	1	0	1	1
Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein) (OsmF) (PDB:4WEP)	2	0.1572992070502845	0.40904111070305105	M	COG1732	GC_00004539, GC_00007946	1	0	1	1
tRNA1(Val) A37 N6-methylase TrmN6 (TrmN6)	2	0.1572992070502845	0.40904111070305105	M	COG4123	GC_00002106	1	0	1	1
Uncharacterized conserved protein, DUF1223 domain (PDB:2AXO)	2	0.1572992070502845	0.40904111070305105	M	COG5429	GC_00002576	1	0	1	1
Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain (YqiK) (PDB:1WIN)	2	0.1572992070502845	0.40904111070305105	M	COG2268	GC_00004447	1	0	1	1
Antitoxin component MazE of the MazEF toxin-antitoxin module (MazE) (PDB:1MVF)	2	0.1572992070502845	0.40904111070305105	M	COG2336	GC_00008213	1	0	1	1
Biotin-(acetyl-CoA carboxylase) ligase (BirA2) (PDB:1BIA) (PUBMED:32188788)	2	0.1572992070502845	0.40904111070305105	M	COG0340	GC_00007766	1	0	1	1
Capsule polysaccharide modification protein KpsS (KpsS)	2	0.1572992070502845	0.40904111070305105	M	COG3562	GC_00007356	1	0	1	1
Uncharacterized conserved protein (PDB:1X6M)	2	0.1572992070502845	0.40904111070305105	M	COG3791	GC_00005169	1	0	1	1
Phosphodiesterase/alkaline phosphatase D (PhoD) (PDB:2YEQ)	2	0.1572992070502845	0.40904111070305105	M	COG3540	GC_00007820	1	0	1	1
Uncharacterized pentameric protein YbjQ, UPF0145 family (YbjQ) (PDB:1VR4) (PUBMED:23935051)	2	0.1572992070502845	0.40904111070305105	M	COG0393	GC_00007044	1	0	1	1
Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily (YbdK) (PDB:1R8G) (PUBMED:15211520)	2	0.1572992070502845	0.40904111070305105	M	COG2170	GC_00008320	1	0	1	1
Periplasmic Cu and Ag efflux protein CusF (CusF)	2	0.1572992070502845	0.40904111070305105	M	COG5569	GC_00004291, GC_00004811	1	0	1	1
PIWI domain, catalyzes dsRNA-guided hydrolysis of ssRNA, involved in RNA silencing, RNA metabolism and antiviral defense (PIWI) (PDB:1W9H)	2	0.1572992070502845	0.40904111070305105	M	COG1431	GC_00003267	1	0	1	1
SH3-like domain (SH3)	2	0.1572992070502845	0.40904111070305105	M	COG3807	GC_00004168	1	0	1	1
ABC-type proline/glycine betaine transport system, permease component (OpuBB)	2	0.1572992070502845	0.40904111070305105	M	COG1174	GC_00004951, GC_00006465, GC_00007110, GC_00007281	1	0	1	1
Uncharacterized membrane protein YfhO (YfhO)	2	0.1572992070502845	0.40904111070305105	M	COG4485	GC_00002560	1	0	1	1
Predicted protein tyrosine phosphatase	2	0.1572992070502845	0.40904111070305105	M	COG5350	GC_00002073	1	0	1	1
Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family (SGA1) (PDB:1AGM)	2	0.1572992070502845	0.40904111070305105	M	COG3387	GC_00005800	1	0	1	1
ABC-type xylose transport system, permease component (XylH)	2	0.1572992070502845	0.40904111070305105	M	COG4214	GC_00002280, GC_00006642	1	0	1	1
Flagellar motor protein MotB (MotB)!!!Uncharacterized conserved protein, UCP014979 family	2	0.1572992070502845	0.40904111070305105	M	COG1360!!!COG4719	GC_00003418, GC_00004902	1	0	1	1
Retron-type reverse transcriptase (YkfC)	2	0.1572992070502845	0.40904111070305105	M	COG3344	GC_00004117, GC_00006297, GC_00006406	1	0	1	1
Uncharacterized conserved protein, DUF4415 family	2	0.1572992070502845	0.40904111070305105	M	COG3514	GC_00002559	1	0	1	1
Type III secretory pathway, EscU/YscU component (EscU) (PDB:2JLH)	2	0.1572992070502845	0.40904111070305105	M	COG4792	GC_00008037	1	0	1	1
Type II secretory pathway, pseudopilin PulG (PulG) (PDB:1AY2)	2	0.1572992070502845	0.40904111070305105	M	COG2165	GC_00003266, GC_00005615, GC_00007001	1	0	1	1
Uncharacterized conserved protein YbaP, TraB family (TraB)	2	0.1572992070502845	0.40904111070305105	M	COG3735	GC_00005008	1	0	1	1
Uncharacterized conserved protein, DUF1501 family	2	0.1572992070502845	0.40904111070305105	M	COG4102	GC_00006688	1	0	1	1
Phospholipase/lecithinase/hemolysin (PDB:6JL1)!!!Uncharacterized conserved protein YhjY, contains autotransporter beta-barrel domain (YhjY)	2	0.1572992070502845	0.40904111070305105	M	COG3240!!!COG5571	GC_00002825	1	0	1	1
MHYT domain, NO-binding membrane sensor (MHYT)	2	0.1572992070502845	0.40904111070305105	M	COG3300	GC_00001611	1	0	1	1
UDP-N-acetylmuramyl tripeptide synthase (MurE) (PDB:1E8C)!!!D-alanine-D-alanine ligase or related ATP-grasp enzyme (DdlA) (PDB:1E4E)	2	0.1572992070502845	0.40904111070305105	M	COG0769!!!COG1181	GC_00001316, GC_00003982	1	0	1	1
ABC-type hemin transport system, periplasmic component (ChuT) (PDB:3MD9)	2	0.1572992070502845	0.40904111070305105	M	COG4558	GC_00005229	1	0	1	1
DNA-binding transcriptional regulator GbsR, MarR family (GbsR) (PDB:1KU9)	2	0.1572992070502845	0.40904111070305105	M	COG1510	GC_00004267	1	0	1	1
Ribosomal protein L34 (RpmH) (PDB:6SPB)	2	0.1572992070502845	0.40904111070305105	M	COG0230	GC_00005216	1	0	1	1
Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG (PucG) (PDB:3NNK)	2	0.1572992070502845	0.40904111070305105	M	COG0075	GC_00000703, GC_00002883	1	0	1	1
Primosomal replication protein N (PriB) (PDB:2PNH)	2	0.1572992070502845	0.40904111070305105	M	COG2965	GC_00006462	1	0	1	1
Alkaline phosphatase (PhoA) (PDB:1AJA)	2	0.1572992070502845	0.40904111070305105	M	COG1785	GC_00001974, GC_00002654	1	0	1	1
Muramidase (phage lambda lysozyme)	2	0.1572992070502845	0.40904111070305105	M	COG4678	GC_00003051	1	0	1	1
Uncharacterized conserved protein (PDB:2LA3)	2	0.1572992070502845	0.40904111070305105	M	COG3575	GC_00006645	1	0	1	1
Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)!!!Cytochrome c1 (CYT1)	2	0.1572992070502845	0.40904111070305105	M	COG1622!!!COG2857	GC_00001301	1	0	1	1
Uncharacterized Zn-finger protein, UBP-type (UBP14)	2	0.1572992070502845	0.40904111070305105	M	COG5207	GC_00004147	1	0	1	1
ADP-heptose:LPS heptosyltransferase (RfaF) (PDB:1PSW)!!!Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)	2	0.1572992070502845	0.40904111070305105	M	COG0859!!!COG3063	GC_00002306	1	0	1	1
Type II secretory pathway ATPase component GspA/ExeA/MshM (ExeA) (PUBMED:21378198)	2	0.1572992070502845	0.40904111070305105	M	COG3267	GC_00001843	1	0	1	1
Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family (CysN) (PDB:1ZUN)	2	0.1572992070502845	0.40904111070305105	M	COG2895	GC_00007526	1	0	1	1
Uncharacterized protein, contains DUF2461 domain	2	0.1572992070502845	0.40904111070305105	M	COG5587	GC_00002934	1	0	1	1
Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)	2	0.1572992070502845	0.40904111070305105	M	COG2931	GC_00004563	1	0	1	1
Bacterioferritin-associated ferredoxin (Bfd) (PDB:6E6R)	2	0.1572992070502845	0.40904111070305105	M	COG2906	GC_00005707	1	0	1	1
Uracil-DNA glycosylase (Udg4) (PDB:3IKB)	2	0.1572992070502845	0.40904111070305105	M	COG1573	GC_00001194	1	0	1	1
Predicted metal-binding membrane protein	2	0.1572992070502845	0.40904111070305105	M	COG5486	GC_00007645	1	0	1	1
Uncharacterized membrane protein (PUBMED:15101977)	2	0.1572992070502845	0.40904111070305105	M	COG3759	GC_00001328	1	0	1	1
Transposase InsO and inactivated derivatives (Tra5)!!!Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)	2	0.1572992070502845	0.40904111070305105	M	COG2801!!!COG2963	GC_00001707, GC_00008306	1	0	1	1
Uncharacterized conserved protein YraI (YraI) (PDB:2E52)	2	0.1572992070502845	0.40904111070305105	M	COG4991	GC_00006499	1	0	1	1
Predicted proteasome-type protease	2	0.1572992070502845	0.40904111070305105	M	COG3484	GC_00006999	1	0	1	1
Uncharacterized conserved protein, contains a C-terminal ATPase domain	2	0.1572992070502845	0.40904111070305105	M	COG4913	GC_00001234	1	0	1	1
Endo-beta-1,2-glucanase, glucoamylase superfamily (PDB:3EU8) (PUBMED:28270506)	2	0.1572992070502845	0.40904111070305105	M	COG5368	GC_00004772	1	0	1	1
Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain (AgaS) (PDB:3C3J) (PUBMED:16153181)	2	0.1572992070502845	0.40904111070305105	M	COG2222	GC_00000184	1	0	1	1
Isochorismate hydrolase (EntB1) (PDB:3TB4)	2	0.1572992070502845	0.40904111070305105	M	COG1535	GC_00004405	1	0	1	1
Type III secretory pathway, EscT/YscT component (EscT) (PDB:6R6B)	2	0.1572992070502845	0.40904111070305105	M	COG4791	GC_00001854	1	0	1	1
Heme-degrading monooxygenase HmoA and related ABM domain proteins (HmoA) (PDB:1IUJ) (PUBMED:21873409)	2	0.1572992070502845	0.40904111070305105	M	COG2329	GC_00005859	1	0	1	1
Integral membrane sensor domain MASE1 (MASE1)	2	0.1572992070502845	0.40904111070305105	M	COG3447	GC_00006209	1	0	1	1
Barstar, RNAse (barnase) inhibitor (BarS) (PDB:1A19)	2	0.1572992070502845	0.40904111070305105	M	COG2732	GC_00004519	1	0	1	1
Holliday junction resolvase RusA (prophage-encoded endonuclease) (RusA) (PDB:1Q8R)	2	0.1572992070502845	0.40904111070305105	M	COG4570	GC_00007771	1	0	1	1
Uncharacterized conserved protein YjcR, contains N-terminal HTH domain (YjcR)	2	0.1572992070502845	0.40904111070305105	M	COG5484	GC_00000175	1	0	1	1
Predicted membrane transporter YfcC, affects glyoxylate shunt (YfcC) (PUBMED:24513124)	2	0.1572992070502845	0.40904111070305105	M	COG1288	GC_00005219, GC_00007651	1	0	1	1
ABC-type spermidine/putrescine transport system, permease component I (PotB)!!!ABC-type spermidine/putrescine transport system, permease component II (PotC)	2	0.1572992070502845	0.40904111070305105	M	COG1176!!!COG1177	GC_00005901, GC_00006168	1	0	1	1
3-methylpurine DNA glycosylase AlkC (AlkC)	2	0.1572992070502845	0.40904111070305105	M	COG4335	GC_00004653	1	0	1	1
Mannitol-1-phosphate/altronate dehydrogenases (MtlD) (PDB:1LJ8)	2	0.1572992070502845	0.40904111070305105	M	COG0246	GC_00008137	1	0	1	1
NADH:ubiquinone oxidoreductase 27 kD subunit (chain C) (NuoC)	2	0.1572992070502845	0.40904111070305105	M	COG0852	GC_00001685	1	0	1	1
Uncharacterized protein, contains NAD-binding domain and a Fe-S cluster (PDB:5MOG)	2	0.1572992070502845	0.40904111070305105	M	COG3349	GC_00006840	1	0	1	1
NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)!!!Ketosteroid isomerase-related protein (YesE) (PDB:1Z1S)	2	0.1572992070502845	0.40904111070305105	M	COG0493!!!COG1902!!!COG3631	GC_00001280	1	0	1	1
c-di-GMP phosphodiesterase YuxH/PdeH, contains EAL and HDOD domains (YuxH) (PUBMED:23893111)	2	0.1572992070502845	0.40904111070305105	M	COG3434	GC_00001892	1	0	1	1
Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain (YfmG) (PDB:2AFT)	2	0.1572992070502845	0.40904111070305105	M	COG1262	GC_00005093, GC_00006049	1	0	1	1
Uncharacterized membrane protein, DUF4212 domain	2	0.1572992070502845	0.40904111070305105	M	COG4327	GC_00004997	1	0	1	1
Putative cell wall-binding domain (amidase enhancer), LytB superfamily (LytB) (PDB:5J6Q)	2	0.1572992070502845	0.40904111070305105	M	COG2247	GC_00001177	1	0	1	1
Predicted dioxygenase, 2-oxoglutarate and Fe-dependent (2OG-Fe) dioxygenase superfamily (PDB:3PL0)	2	0.1572992070502845	0.40904111070305105	M	COG4340	GC_00004018	1	0	1	1
Alcohol dehydrogenase YqhD, Fe-dependent ADH family (YqdH) (PDB:1OJ7)	2	0.1572992070502845	0.40904111070305105	M	COG1979	GC_00006464	1	0	1	1
Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins (OmpA) (PDB:1OAP)!!!Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex (BamE) (PDB:2KM7)	2	0.1572992070502845	0.40904111070305105	M	COG2885!!!COG2913	GC_00006151	1	0	1	1
RecB family exonuclease (Slr0479)!!!Inactivated superfamily I helicase	2	0.1572992070502845	0.40904111070305105	M	COG2887!!!COG3893	GC_00003707	1	0	1	1
O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)!!!2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	2	0.1572992070502845	0.40904111070305105	M	COG0318!!!COG0596	GC_00002833	1	0	1	1
Site-specific DNA recombinase SpoIVCA/DNA invertase PinE (SpoIVCA) (PDB:1GDT)	2	0.1572992070502845	0.40904111070305105	M	COG1961	GC_00006935, GC_00008100	1	0	1	1
ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA (CinA) (PDB:4CT9) (PUBMED:25313401)	2	0.1572992070502845	0.40904111070305105	M	COG1058	GC_00006219	1	0	1	1
Sensor histidine kinase, LytS/YehU family (LytS)	2	0.1572992070502845	0.40904111070305105	M	COG3275	GC_00002706, GC_00005070, GC_00006797	1	0	1	1
Beta-lactamase class A (PenP) (PDB:6W34)	2	0.1572992070502845	0.40904111070305105	M	COG2367	GC_00004744	1	0	1	1
ABC-type branched-chain amino acid transport system, ATPase component LivG (LivG) (PDB:1G9X) (PUBMED:29514851)!!!ABC-type branched-chain amino acid transport system, permease component (LivM)	2	0.1572992070502845	0.40904111070305105	M	COG0411!!!COG4177	GC_00002769, GC_00006928	1	0	1	1
Uncharacterized conserved protein, contains Zn-finger domain of CDGSH type (PDB:2QD0)	2	0.1572992070502845	0.40904111070305105	M	COG3369	GC_00001547	1	0	1	1
Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family (CutS) (PDB:1FFU) (PUBMED:21175741)	2	0.1572992070502845	0.40904111070305105	M	COG2080	GC_00000162, GC_00004442, GC_00007677	1	0	1	1
Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM (EfeO) (PDB:3AT7)	2	0.1572992070502845	0.40904111070305105	M	COG2822	GC_00002690	1	0	1	1
ABC-type uncharacterized transport system, ATPase component (PhnK)	2	0.1572992070502845	0.40904111070305105	M	COG1101	GC_00006896	1	0	1	1
Type III secretory pathway, lipoprotein EscJ (EscJ) (PDB:1YJ7)	2	0.1572992070502845	0.40904111070305105	M	COG4669	GC_00005486	1	0	1	1
VanZ-like family protein (function unknown) (VanZ)	2	0.1572992070502845	0.40904111070305105	M	COG5652	GC_00001244	1	0	1	1
